"행정구역별(1)","특성별(1)",특성별(2),2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018
"행정구역별(1)","특성별(1)",특성별(2),계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음
"전국","가구소득",400~500만원 미만,100.0,19.0,27.6,21.8,20.6,11.0,100.0,19.3,22.6,25.5,20.4,12.1,100.0,19.2,24.7,25.1,19.7,11.3,100.0,17.5,22.6,25.0,21.8,13.1,100.0,16.1,23.3,25.8,20.5,14.2,100.0,14.3,21.1,25.9,23.5,15.2
"전국","가구소득",500∼600만원 미만,100.0,25.4,26.4,21.8,15.1,11.3,100.0,23.5,25.6,25.1,16.5,9.3,100.0,22.7,28.3,23.7,16.7,8.5,100.0,22.3,24.4,24.7,19.6,9.0,100.0,18.9,24.1,25.4,20.4,11.1,100.0,16.3,23.0,27.7,20.2,12.9
"전국","가구소득",600만원 이상,100.0,26.0,27.0,22.7,15.3,9.0,100.0,27.4,27.0,19.8,17.2,8.7,100.0,26.9,26.9,21.3,16.2,8.6,100.0,25.8,26.5,20.4,17.5,9.8,100.0,26.0,27.4,22.2,15.7,8.7,100.0,24.6,26.2,22.5,16.8,9.9
"전국","연령*성별",15~29세*남자,100.0,12.9,26.1,23.3,21.4,16.3,100.0,13.6,20.7,24.4,24.4,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","연령*성별",15~29세*여자,100.0,16.6,25.5,23.5,19.9,14.6,100.0,19.7,22.5,22.5,23.2,12.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","연령*성별",13~29세*남자,-,-,-,-,-,-,-,-,-,-,-,-,100.0,15.2,21.2,24.0,21.6,18.0,100.0,12.7,19.9,26.4,24.7,16.3,100.0,11.6,23.0,27.2,19.9,18.4,100.0,9.9,23.7,28.7,22.0,15.6
"전국","연령*성별",13~29세*여자,-,-,-,-,-,-,-,-,-,-,-,-,100.0,20.1,24.1,22.1,20.4,13.3,100.0,20.4,23.0,24.8,18.7,13.0,100.0,24.0,22.4,21.4,19.1,13.1,100.0,20.4,23.4,26.2,17.2,12.7
"전국","연령*성별",30∼39세*남자,100.0,15.8,23.6,21.6,22.2,16.9,100.0,13.4,22.6,25.6,23.4,15.0,100.0,15.8,22.6,25.2,20.9,15.5,100.0,14.8,24.6,25.3,21.1,14.1,100.0,13.3,20.9,27.0,23.4,15.4,100.0,14.4,22.6,26.9,21.3,14.8
"전국","연령*성별",30∼39세*여자,100.0,15.4,22.4,23.8,22.6,15.8,100.0,15.7,22.9,23.1,24.7,13.7,100.0,20.0,23.0,22.1,21.7,13.3,100.0,17.3,20.8,24.1,24.4,13.4,100.0,18.0,19.9,24.9,23.4,13.8,100.0,17.2,21.3,25.6,21.3,14.7
"전국","연령*성별",40∼49세*남자,100.0,15.4,22.7,22.5,22.7,16.7,100.0,13.8,22.9,23.0,24.8,15.5,100.0,14.4,23.7,24.2,23.1,14.5,100.0,14.3,22.2,25.0,23.2,15.3,100.0,14.0,22.0,25.2,23.6,15.2,100.0,15.3,24.6,23.3,22.4,14.3
"전국","연령*성별",40∼49세*여자,100.0,12.3,19.6,23.7,26.5,17.9,100.0,13.4,18.6,22.4,29.2,16.4,100.0,12.6,19.7,25.7,27.0,15.0,100.0,14.7,18.5,25.1,25.2,16.4,100.0,14.6,19.2,24.5,25.3,16.4,100.0,14.4,17.5,27.3,25.9,14.9
"전국","연령*성별",50∼59세*남자,100.0,15.7,21.2,27.0,22.3,13.7,100.0,13.6,21.3,26.6,25.4,13.1,100.0,13.8,20.9,25.1,27.4,12.8,100.0,14.0,23.1,22.8,24.3,15.8,100.0,13.5,23.3,26.4,23.0,13.8,100.0,12.8,21.9,26.0,25.0,14.2
"전국","연령*성별",50∼59세*여자,100.0,12.8,15.7,29.8,26.8,15.0,100.0,14.6,17.5,24.4,29.3,14.1,100.0,12.9,21.3,24.1,26.7,15.0,100.0,13.1,15.4,26.4,28.0,17.1,100.0,12.6,17.7,22.7,28.5,18.5,100.0,13.3,16.3,24.9,27.0,18.4
"전국","연령*성별",60세 이상*남자,100.0,14.9,23.6,25.9,22.0,13.5,100.0,13.4,22.4,24.4,25.9,13.9,100.0,13.5,24.7,25.3,24.5,12.0,100.0,13.8,23.3,28.5,24.5,9.8,100.0,16.4,19.2,29.4,23.3,11.7,100.0,13.1,24.5,26.6,23.8,12.1
"전국","연령*성별",60세 이상*여자,100.0,18.7,10.1,28.3,28.5,14.4,100.0,12.6,26.2,26.5,22.7,12.0,100.0,24.6,19.2,27.4,19.7,9.0,100.0,22.6,17.4,26.8,21.8,11.4,100.0,13.8,23.9,26.5,26.4,9.4,100.0,16.6,20.3,31.0,20.1,12.1
"전국","연령*성별",65세 이상*남자,100.0,15.1,23.0,26.5,21.9,13.4,100.0,13.6,23.5,25.1,25.6,12.0,100.0,13.9,25.5,25.6,23.3,11.7,100.0,12.2,25.7,28.6,23.6,10.0,100.0,15.9,18.2,31.4,23.4,11.1,100.0,12.3,26.6,28.3,21.5,11.3
"전국","연령*성별",65세 이상*여자,100.0,17.1,12.4,28.7,29.7,12.2,100.0,11.9,30.1,25.7,21.9,10.4,100.0,31.0,23.9,22.9,13.9,8.3,100.0,27.7,18.2,28.7,19.0,6.4,100.0,20.9,28.5,21.2,18.2,11.2,100.0,19.6,17.9,31.0,20.8,10.8
"전국","장애인복지카드 소유여부",장애인 복지카드 있음,-,-,-,-,-,-,-,-,-,-,-,-,100.0,17.0,19.7,22.3,23.8,17.3,100.0,14.1,18.2,24.1,26.4,17.2,100.0,11.5,17.6,29.0,26.4,15.5,100.0,15.4,16.9,25.2,25.3,17.2
"전국","장애인복지카드 소유여부",장애인 복지카드 없음,-,-,-,-,-,-,-,-,-,-,-,-,100.0,15.9,22.4,24.2,23.2,14.3,100.0,15.4,21.6,25.1,23.3,14.5,100.0,15.4,21.1,25.3,23.3,14.9,100.0,14.8,21.9,26.2,22.7,14.4
"전국","교육정도(전공관련)",특성화(구 전문계)고졸,100.0,5.3,15.6,25.6,29.9,23.6,100.0,4.0,14.4,23.2,36.2,22.2,100.0,5.0,16.5,22.6,32.0,24.0,100.0,4.5,14.2,26.0,33.0,22.2,100.0,5.8,15.3,24.6,32.0,22.3,100.0,5.0,14.5,25.5,32.5,22.5
