no,content,score,date
12193,과거의 뮤지컬 영화를 연상케하면서 영화자체는 괜찮았으나 중간에 졸음이 올 정도로 지루한 면이 있었다  감독이   39 위 플래쉬  39 때 강렬한 긴장과 영화가 끝나고도 자리에서 일어날 수 없을 정도로 충격적인 감동을 준 것에 비하면 영화를 달콤하고 부드럽다,8,2016.12.25 23:55
12194,지금도 씬들이 기억에서 머무르네요,10,2016.12.25 23:54
12195,두번봐도 감동한번 더 볼꺼에요,10,2016.12.25 23:52
12196,관람객       서로의 꿈을 응원하며 사랑했지만  결국 그 꿈의 실현이 그들을 갈라 놓게되었고   그럼에도 불구하고 서로의 인생을 응원하게 해주는 가슴아프고현실적인 이야기,10,2016.12.25 23:51
12197,정말 음질 좋은 헤드폰을 사고싶어졌다,10,2016.12.25 23:51
12198,관람객       초반씬들은 약간 몰입이 잘안됐으나 후반으로 갈수록 굉장히 몰입하게 된다  차라리 정신 사나운 어설픈 뮤지컬 같은 씬들을 빼고 그대로 스토리 전개했어도 됐을 것 같은 영화  연인끼리 꼭 봤으면 하는 영화,8,2016.12.25 23:49
12199,시작부터 끝까지 눈을 뗄 수 없었어요,9,2016.12.25 23:48
12200,관람객       가슴 따뜻  긴 여운  재즈입문,8,2016.12.25 23:46
12201,신나는 음악과 함께하는 2시간 행복한 시간 그리고 마음 아픈 셉스 바의 엔딩,9,2016.12.25 23:45
12202,관람객       신나구요 크게 생각없이 볼 수 있어서 좋구요 구도나 의상두 환상적이네요    추천해드려요,8,2016.12.25 23:45
12203,관람객       이영화 꼭 한번은 봐야할 영화입니다  꿈과 현실  삶이 가슴에 와닿으며 배우들의 연기와 연출이 정말 상상할수 없을정도로 잘 만들어진 영화라 생각이 듭니다,10,2016.12.25 23:44
12204,관람객       제 인생 영화가 되었습니다  그냥 흘러가는대로 하면돼   대사가 가슴에 와닿습니다,10,2016.12.25 23:43
12205,관람객       완전재미있읍니다 또봤읍니다,10,2016.12.25 23:42
12206,관람객       오늘부터 내 인생영화     끝나고나서도 한참동안이나 여운이 길다,10,2016.12.25 23:41
12207,와 같은 영화내 음악들이 놀이동산 온거 같은 느낌을 줬다    34 과거에 저랬더라면 좋았을껄   34  하는 흔한 편린을 자연스럽게 옮긴 장면도 좋았다    39 예쁜것과 닮은 영화다   39  좋은 음악들은 덤,10,2016.12.25 23:41
12208,인생영화다   사운드도 너무나 좋고 스토리 전개도 뻔하지 않다  엠마스톤의 연기도 너무좋고 캐스팅될때 노래부르는데 눈물났다,10,2016.12.25 23:41
12209,엠마 스톤이 부른 꿈을 꾸는 이들에 대한 위로의 노래가 잊혀지질 않는다,10,2016.12.25 23:40
12210,오랜만에 좋은 영화 보고 온것같다,10,2016.12.25 23:40
12211,관람객       두번보는데도 안졸고 재밌게 봤어요 잔잔하니 재밌네요 노래 다 너무 좋음,10,2016.12.25 23:38
12212,여운이 오래가네요,10,2016.12.25 23:36
12213,관람객       단숨에 인생영화로 등극,10,2016.12.25 23:35
12214,관람객       너무 잘보고왔어요 결말이 다한 영화,10,2016.12.25 23:35
12215,관람객       크리스마스에 봐서 더욱더 좋았던 영화   스토리보다는 색감이랑 그냥 내내 지루하지않아서 너무 좋았어용    해피엔딩은 안였지만 꿈있는 청년들  보기에 좋은영화,9,2016.12.25 23:33
12216,아름다운 배경  녹아드는 연출  얼핏 촌스러워 보일 순 있지만 그것마저 아름답게 보이는 것은 음악이 훌륭해서일까  무엇보다 사랑보다 꿈을 고민하는 전개가 좋다   겉보기엔 반짝이지만 속은 치열한 재즈같은 영화,10,2016.12.25 23:32
12217,평식이가 7점줬다 꼭봐라,9,2016.12.25 23:32
12218,계속생각나는영화입니다,9,2016.12.25 23:32
12219,하나도 기도를 안했는데 정말 만족스럽고 노래와 춤 모두 즐겁고 영상이 정말 예뻐서 다시 보고싶습니다  배우들에게도 푹 빠진것같습니다,10,2016.12.25 23:32
12220,관람객       노래 너무 좋았다   행복해지는영화,9,2016.12.25 23:31
12221,마지막장면이 압권,10,2016.12.25 23:30
12222,음악영화는 똑같다  내용은 그저 그런데 음악이 너무 좋다,9,2016.12.25 23:30
12223,보는 내내 감정에 엄청난 소용돌이가 휘몰아쳤던 영화두번 세번 또 보고싶다,10,2016.12.25 23:23
12224,관람객       학교다닐때 재즈곡에 빠져 씨디사서 밤새 카피했던 기억들이 새록새록  영화내내 좋은음악과 멋진 배우들때문에 행복했네요 배우들이 노래 춤추는 대부분의 씬이 롱씬으로 한번에 촬영해서 정말 뮤지컬을 보는듯했어요 또보고싶은 영화,10,2016.12.25 23:22
12225,관람객       음악이 너무 좋았어요,9,2016.12.25 23:21
12226,관람객       좋았어요 노래랑 연기랑 전부,8,2016.12.25 23:21
12227,관람객       정말 뮤지컬 좋아하시는 분이라먼 한번 꼭 보셔야 합니다,10,2016.12.25 23:20
12228,관람객       멜로 사랑 스토리를 지루하지 않게 전개햇네요 엔딩스토리가 좋앗어요,8,2016.12.25 23:17
12229,관람객       정말 재미있었습니다,10,2016.12.25 23:17
12230,관람객       영상미가 정말 좋은영화엿구 여운이많이남네요 마지막장면은 좀 슬펏어요,9,2016.12.25 23:16
12231,잔잔한 감동이    좋앗어요,9,2016.12.25 23:16
12232,결말이 현실적이라서 여운이 남는 부분이 가장 마음에 들어서 끝마무리는 좋았으나  꿈꾸는 자들의 라라랜드로 관객을 초대하는 이끌림이나 임팩트가 아쉬웠다,4,2016.12.25 23:13
12233,진짜 인생영화임  어지간해서 이런거 잘 안다는데  정말 좋은 영화임  내 인생과 어찌 그리 똑 닮은지 모르겠음  보면서 감정 이입 잘되더라,10,2016.12.25 23:12
12234,다가온 나의 스무살에 대답을 건내준 영화  고마워요,10,2016.12.25 23:12
12235,관람객       내리기전에 한번 또 보러갈영화,9,2016.12.25 23:11
12236,관람객       두 번 봄  놀이기구 탄 기분,10,2016.12.25 23:11
12237,관람객       잔잔하고 여운이 남는 영화입니다  재밌어요,10,2016.12.25 23:09
12238,존 레전드 형님이 캐리하는 영화,3,2016.12.25 23:07
12239,썸남 썸녀가 보면 좋을 멋진 영화입니다,10,2016.12.25 23:03
12240,관람객       최고의 뮤지컬 영화 라라랜드,10,2016.12.25 23:03
12241,관람객       아쉽지만 여운이 남네요,4,2016.12.25 23:02
12242,관람객       가슴이 벅차오르는 감정을 주체를 못해서 눈물이 뚝뚝,10,2016.12.25 22:58
12243,눈과 귀와 마음을 감동시켰어요  공감하고 느낀다면 감동할 영화  개인적 취향으로 재밌었습니다,10,2016.12.25 22:56
12244,관람객       장면장면마다 울컥하게 하는 감동있는 영화였습니다,10,2016.12.25 22:55
12245,노트북의 고슬링이 돌아왔다  음악도 너무 좋다  내 과거의 선택에서 낳은 결과를 돌이켜 생각해본다,10,2016.12.25 22:54
12246,극찬할 만한 영화이지만 커플들은 안보는게 좋을듯합니다,10,2016.12.25 22:54
12247,관람객       5년   5년이라는 시간,8,2016.12.25 22:54
12248,관람객       볼거리를 기대하고 갔는데  전 외려 내용과 연기가 더 좋았어요   울면서 본 황홀한 우리네 인생이야기,10,2016.12.25 22:54
12249,쒸리옵스타알 를 하루에도 몇번이나 흥얼거린다,10,2016.12.25 22:53
12250,관람객       좋았다 흥얼흥얼 엠마스톤짱 고슬고슬,7,2016.12.25 22:50
12251,관람객       초반엔 살짝    지루했는데 분위기 있고 좋았어요,10,2016.12.25 22:50
12252,관람객       너무이쁜영화에요 추천합니다,10,2016.12.25 22:49
12253,관람객       한편의 뮤지컬을 보고 나온것같았어요 노래도 너무 좋고 연기자들도 너무 좋았어요 영화 보고나온뒤 계속 생각나네요,10,2016.12.25 22:48
